"date","logP","year","month","ci","lcl","tInMonth","logQ"
1998-10-01,-1.6094379124341,1998,10,0,-2.30258509299405,0,6.65286302935335
1998-11-01,-2.30258509299405,1998,11,0,-2.30258509299405,1,6.58063913728495
1998-12-01,-2.99573227355399,1998,12,-1,-2.30258509299405,2,6.43294009273918
1999-01-01,-2.99573227355399,1999,1,-1,-2.30258509299405,3,5.99146454710798
1999-02-01,-0.510825623765991,1999,2,0,-2.30258509299405,4,6.39692965521615
1999-03-01,-2.30258509299405,1999,3,0,-2.30258509299405,5,6.30991827822652
1999-04-01,-1.6094379124341,1999,4,0,-2.30258509299405,6,7.59085212368858
1999-05-01,-1.6094379124341,1999,5,0,-2.30258509299405,7,7.22256601882217
1999-06-01,-0.693147180559945,1999,6,0,-2.30258509299405,8,7.57044325205737
1999-07-01,-1.20397280432594,1999,7,0,-2.30258509299405,9,7.20785987143248
1999-08-01,-1.6094379124341,1999,8,0,-2.30258509299405,10,6.86066367144829
1999-09-01,-2.99573227355399,1999,9,-1,-2.30258509299405,11,5.57972982598622
1999-10-01,-2.99573227355399,1999,10,-1,-2.30258509299405,12,4.90527477843843
1999-11-01,-2.30258509299405,1999,11,0,-2.30258509299405,13,4.64439089914137
1999-12-01,-2.99573227355399,1999,12,-1,-2.30258509299405,14,4.77068462446567
2000-01-01,-2.99573227355399,2000,1,-1,-2.30258509299405,15,4.86753445045558
2000-02-01,-2.30258509299405,2000,2,0,-2.30258509299405,16,4.24849524204936
2000-03-01,-2.99573227355399,2000,3,-1,-2.30258509299405,17,5.29831736654804
2000-04-01,-1.20397280432594,2000,4,0,-2.30258509299405,18,5.59471137960184
2000-05-01,-1.6094379124341,2000,5,0,-2.30258509299405,19,5.29831736654804
2000-06-01,-0.916290731874155,2000,6,0,-2.30258509299405,20,7.31986492980897
2000-07-01,-1.20397280432594,2000,7,0,-2.30258509299405,21,8.03915739047324
2000-08-01,-1.6094379124341,2000,8,0,-2.30258509299405,22,5.51745289646471
2000-09-01,-2.99573227355399,2000,9,-1,-2.30258509299405,23,4.56434819146784
2000-10-01,-2.99573227355399,2000,10,-1,-2.30258509299405,24,4.30406509320417
2000-11-01,-2.99573227355399,2000,11,-1,-2.30258509299405,25,5.33753807970132
2000-12-01,-2.99573227355399,2000,12,-1,-2.30258509299405,26,4.86753445045558
2001-01-01,-2.99573227355399,2001,1,-1,-2.30258509299405,27,4.9416424226093
2001-02-01,-2.99573227355399,2001,2,-1,-2.30258509299405,28,4.60517018598809
2001-03-01,-2.99573227355399,2001,3,-1,-2.30258509299405,29,5.07517381523383
2001-04-01,-1.20397280432594,2001,4,0,-2.30258509299405,30,8.51919119407891
2001-05-01,-1.20397280432594,2001,5,0,-2.30258509299405,31,7.46164039220858
2001-06-01,-1.6094379124341,2001,6,0,-2.30258509299405,32,7.61579107203583
2001-07-01,-1.6094379124341,2001,7,0,-2.30258509299405,33,6.82654522355659
2001-08-01,-2.99573227355399,2001,8,-1,-2.30258509299405,34,6.55677835615804
2001-09-01,-3.68887945411394,2001,9,-1,-2.99573227355399,35,4.80402104473326
2001-10-01,-2.20727491318972,2001,10,0,-2.99573227355399,36,4.9416424226093
2001-11-01,-3.68887945411394,2001,11,-1,-2.99573227355399,37,5.21493575760899
2001-12-01,-2.04022082852655,2001,12,0,-2.99573227355399,38,5.57972982598622
2002-01-01,-3.68887945411394,2002,1,-1,-2.99573227355399,39,4.89783979995091
2002-02-01,-2.81341071676004,2002,2,0,-2.99573227355399,40,5.14166355650266
2002-03-01,-2.30258509299405,2002,3,0,-2.99573227355399,41,5.52146091786225
2002-04-01,-2.81341071676004,2002,4,0,-2.99573227355399,42,5.26785815906333
2002-05-01,-1.38629436111989,2002,5,0,-2.99573227355399,43,6.97541392745595
2002-06-01,-2.04022082852655,2002,6,0,-2.99573227355399,44,6.31535800152233
2002-07-01,-1.51412773262978,2002,7,0,-2.99573227355399,45,5.75574221358691
2002-08-01,-1.34707364796661,2002,8,0,-2.99573227355399,46,6.02344759296103
2002-09-01,-2.40794560865187,2002,9,0,-2.99573227355399,47,5.33271879326537
2002-10-01,-2.30258509299405,2002,10,0,-2.99573227355399,48,5.60947179518496
2002-11-01,-3.68887945411394,2002,11,-1,-2.99573227355399,49,5.78074351579233
2002-12-01,-2.40794560865187,2002,12,0,-2.99573227355399,50,5.29330482472449
2003-01-01,-3.68887945411394,2003,1,-1,-2.99573227355399,51,5.03043792139244
2003-02-01,-3.68887945411394,2003,2,-1,-2.99573227355399,52,4.53259949315326
2003-03-01,-3.68887945411394,2003,3,-1,-2.99573227355399,53,4.47733681447821
2003-04-01,-2.12026353620009,2003,4,0,-2.99573227355399,54,5.53338948872752
2003-05-01,-1.30933331998376,2003,5,0,-2.99573227355399,55,7.56527528189893
2003-06-01,-2.40794560865187,2003,6,0,-3.91202300542815,56,6.23832462503951
2003-07-01,-1.27296567581289,2003,7,0,-3.91202300542815,57,6.4393503711001
2003-08-01,-2.52572864430826,2003,8,0,-3.91202300542815,58,5.51342874616498
2003-09-01,-3.2188758248682,2003,9,0,-3.91202300542815,59,4.23410650459726
2003-10-01,-3.91202300542815,2003,10,0,-3.91202300542815,60,4.12713438504509
2003-11-01,-2.30258509299405,2003,11,0,-3.91202300542815,61,4.88280192258637
2003-12-01,-3.91202300542815,2003,12,0,-3.91202300542815,62,4.62497281328427
2004-01-01,-3.50655789731998,2004,1,0,-3.91202300542815,63,4.82028156560504
2004-02-01,-3.2188758248682,2004,2,0,-3.91202300542815,64,4.55387689160054
2004-03-01,-0.59783700075562,2004,3,0,-2.99573227355399,65,6.74641212857337
2004-04-01,-1.83258146374831,2004,4,0,-3.91202300542815,66,6.22851100359118
2004-05-01,-2.20727491318972,2004,5,0,-3.91202300542815,67,6.01859321449623
2004-06-01,-1.66073120682165,2004,6,0,-3.91202300542815,68,8.19973896063079
2004-07-01,-1.23787435600162,2004,7,0,-3.91202300542815,69,6.99393297522319
2004-08-01,-2.40794560865187,2004,8,0,-3.91202300542815,70,5.31320597904179
2004-09-01,-2.40794560865187,2004,9,0,-3.91202300542815,71,4.83628190695148
2004-10-01,-3.50655789731998,2004,10,0,-3.91202300542815,72,4.60517018598809
2004-11-01,-2.20727491318972,2004,11,0,-3.91202300542815,73,4.9416424226093
2004-12-01,-2.99573227355399,2004,12,0,-3.91202300542815,74,4.86753445045558
2005-01-01,-2.81341071676004,2005,1,0,-3.91202300542815,75,4.24849524204936
2005-02-01,-1.42711635564015,2005,2,0,-2.99573227355399,76,5.40267738187228
2005-03-01,-2.40794560865187,2005,3,0,-2.99573227355399,77,5.47646355193151
2005-04-01,-1.96611285637283,2005,4,0,-3.91202300542815,78,5.77144112313002
2005-05-01,-0.776528789498996,2005,5,0,-3.91202300542815,79,7.3132203870903
2005-06-01,-2.04022082852655,2005,6,0,-3.91202300542815,80,6.4281052726846
2005-07-01,-1.34707364796661,2005,7,0,-3.91202300542815,81,7.72312009226633
2005-08-01,-1.66073120682165,2005,8,0,-3.91202300542815,82,6.04973345523196
2005-09-01,-1.96611285637283,2005,9,0,-3.91202300542815,83,4.90527477843843
2005-10-01,-2.04022082852655,2005,10,0,-3.91202300542815,84,5.85220247977447
2005-11-01,-2.52572864430826,2005,11,0,-3.91202300542815,85,5.36129216570943
2005-12-01,-2.65926003693278,2005,12,0,-3.91202300542815,86,5.26785815906333
2006-01-01,-2.30258509299405,2006,1,0,-3.91202300542815,87,6.70441435496411
2006-02-01,-2.52572864430826,2006,2,0,-3.91202300542815,88,6.01615715969835
2006-03-01,-2.65926003693278,2006,3,0,-3.91202300542815,89,5.67675380226828
2006-04-01,-1.6094379124341,2006,4,0,-3.91202300542815,90,7.64969262371151
2006-05-01,-1.96611285637283,2006,5,0,-3.91202300542815,91,7.97590836016554
2006-06-01,-1.89711998488588,2006,6,0,-3.91202300542815,92,6.0913098820777
2006-07-01,-1.83258146374831,2006,7,0,-3.91202300542815,93,5.46383180502561
2006-08-01,-1.96611285637283,2006,8,0,-3.91202300542815,94,5.23110861685459
2006-09-01,-2.65926003693278,2006,9,0,-3.91202300542815,95,4.61512051684126
2006-10-01,-2.40794560865187,2006,10,0,-3.91202300542815,96,5.59098698051086
2006-11-01,-2.99573227355399,2006,11,0,-3.91202300542815,97,5.42934562895444
2006-12-01,-2.99573227355399,2006,12,0,-3.91202300542815,98,6.26339826259162
2007-01-01,-1.46967597005894,2007,1,0,-3.91202300542815,99,7.36518012602101
2007-02-01,-2.81341071676004,2007,2,0,-3.91202300542815,100,5.91350300563827
2007-03-01,-2.65926003693278,2007,3,0,-3.91202300542815,101,6.24416690066374
2007-04-01,-2.04022082852655,2007,4,0,-3.91202300542815,102,7.55485852104068
2007-05-01,-2.04022082852655,2007,5,0,-3.91202300542815,103,7.45587668749182
2007-06-01,-1.71479842809193,2007,6,0,-3.91202300542815,104,6.90775527898214
2007-07-01,-1.89711998488588,2007,7,0,-3.91202300542815,105,5.90263333340137
2007-08-01,-2.12026353620009,2007,8,0,-3.91202300542815,106,5.50125821054473
2007-09-01,-1.71479842809193,2007,9,0,-3.91202300542815,107,6.75576892198425
2007-10-01,-2.52572864430826,2007,10,0,-3.91202300542815,108,6.12029741895095
2007-11-01,-2.30258509299405,2007,11,0,-3.91202300542815,109,6.73578001424233
2007-12-01,-2.81341071676004,2007,12,0,-3.91202300542815,110,5.96870755998537
2008-01-01,-2.65926003693278,2008,1,0,-3.91202300542815,111,6.22653666928747
2008-02-01,-2.99573227355399,2008,2,0,-3.91202300542815,112,5.48063892334199
2008-03-01,-0.579818495252942,2008,3,0,-2.99573227355399,113,6.06610809010375
2008-04-01,-0.527632742082372,2008,4,0,-2.99573227355399,114,7.73630709654828
2008-05-01,-1.96611285637283,2008,5,0,-3.91202300542815,115,7.73630709654828
2008-06-01,-1.46967597005894,2008,6,0,-3.91202300542815,116,8.32845106681936
2008-07-01,-1.27296567581289,2008,7,0,-3.91202300542815,117,7.43248380791712
2008-08-01,-2.30258509299405,2008,8,0,-3.91202300542815,118,6.03548143252476
2008-09-01,NA,2008,9,NA,NA,119,NA
2008-10-01,NA,2008,10,NA,NA,120,NA
2008-11-01,NA,2008,11,NA,NA,121,NA
2008-12-01,NA,2008,12,NA,NA,122,NA
2009-01-01,NA,2009,1,NA,NA,123,NA
2009-02-01,NA,2009,2,NA,NA,124,NA
2009-03-01,NA,2009,3,NA,NA,125,NA
2009-04-01,-1.77195684193188,2009,4,0,-3.91202300542815,126,7.01211529430638
2009-05-01,-1.77195684193188,2009,5,0,-3.91202300542815,127,7.39018142822643
2009-06-01,-1.83258146374831,2009,6,0,-3.91202300542815,128,8.16905314992734
2009-07-01,-1.71479842809193,2009,7,0,-3.91202300542815,129,6.88550967003482
2009-08-01,-2.52572864430826,2009,8,0,-3.91202300542815,130,6.07304453410041
2009-09-01,-2.99573227355399,2009,9,0,-3.91202300542815,131,5.15329159449778
2009-10-01,-2.12026353620009,2009,10,0,-3.91202300542815,132,5.71373280550937
2009-11-01,-1.6094379124341,2009,11,0,-3.91202300542815,133,8.22147894726719
2009-12-01,-2.52572864430826,2009,12,0,-3.91202300542815,134,6.30444880242198
2010-01-01,-2.65926003693278,2010,1,0,-3.91202300542815,135,6.3578422665081
2010-02-01,-2.65926003693278,2010,2,0,-3.91202300542815,136,6.19847871649231
2010-03-01,-2.81341071676004,2010,3,0,-3.91202300542815,137,6.28226674689601
2010-04-01,-1.96611285637283,2010,4,0,-3.91202300542815,138,6.98471632011827
2010-05-01,-1.83258146374831,2010,5,0,-3.91202300542815,139,7.43248380791712
2010-06-01,-2.12026353620009,2010,6,0,-3.91202300542815,140,6.72262979485545
2010-07-01,-1.66073120682165,2010,7,0,-3.91202300542815,141,8.45744318701046
2010-08-01,-1.71479842809193,2010,8,0,-3.91202300542815,142,7.17011954344963
2010-09-01,-2.40794560865187,2010,9,0,-3.91202300542815,143,5.57215403217776
2010-10-01,-2.40794560865187,2010,10,0,-2.99573227355399,144,5.34710753071747
2010-11-01,-3.2188758248682,2010,11,0,-3.91202300542815,145,5.13579843705026
2010-12-01,-2.52572864430826,2010,12,0,-3.91202300542815,146,5.8171111599632
2011-01-01,-1.89711998488588,2011,1,0,-3.91202300542815,147,5.71373280550937
2011-02-01,-2.65926003693278,2011,2,0,-3.91202300542815,148,4.99043258677874
2011-03-01,-1.77195684193188,2011,3,0,-3.91202300542815,149,7.33302301438648
2011-04-01,-2.04022082852655,2011,4,0,-3.91202300542815,150,6.84268328223842
2011-05-01,-2.12026353620009,2011,5,0,-3.91202300542815,151,7.54960916515453
2011-06-01,-1.71479842809193,2011,6,0,-3.91202300542815,152,7.27239839257005
2011-07-01,-1.83258146374831,2011,7,0,-3.91202300542815,153,6.56526497003536
2011-08-01,-2.30258509299405,2011,8,0,-3.91202300542815,154,5.31320597904179
2011-09-01,-1.96611285637283,2011,9,0,-3.91202300542815,155,4.85203026391962
2011-10-01,-3.2188758248682,2011,10,0,-3.91202300542815,156,4.4188406077966
2011-11-01,-2.99573227355399,2011,11,0,-3.91202300542815,157,4.53259949315326
2011-12-01,-2.52572864430826,2011,12,0,-3.91202300542815,158,4.70048036579242
2012-01-01,-2.12026353620009,2012,1,0,-3.91202300542815,159,5.08140436498446
2012-02-01,-2.99573227355399,2012,2,0,-3.91202300542815,160,4.91998092582813
2012-03-01,-1.6094379124341,2012,3,0,-3.91202300542815,161,5.41610040220442
2012-04-01,-1.89711998488588,2012,4,0,-3.91202300542815,162,5.09375020080676
2012-05-01,-1.30933331998376,2012,5,0,-3.91202300542815,163,6.75110146893676
2012-06-01,-2.30258509299405,2012,6,0,-3.91202300542815,164,5.74300318780948
2012-07-01,-2.04022082852655,2012,7,0,-3.91202300542815,165,5.16478597392351
2012-08-01,-2.12026353620009,2012,8,0,-3.91202300542815,166,3.89182029811063
2012-09-01,-2.99573227355399,2012,9,0,-3.91202300542815,167,3.25809653802148
2012-10-01,-3.50655789731998,2012,10,0,-3.91202300542815,168,3.09104245335832
2012-11-01,-3.50655789731998,2012,11,0,-3.91202300542815,169,3.80666248977032
2012-12-01,-3.2188758248682,2012,12,0,-3.91202300542815,170,3.91202300542815
2013-01-01,-3.50655789731998,2013,1,0,-3.91202300542815,171,3.49650756146648
2013-02-01,-2.99573227355399,2013,2,0,-3.91202300542815,172,3.71357206670431
2013-03-01,-3.2188758248682,2013,3,0,-3.91202300542815,173,3.76120011569356
2013-04-01,-1.23787435600162,2013,4,0,-3.91202300542815,174,6.4150969591716
2013-05-01,-1.71479842809193,2013,5,0,-3.91202300542815,175,7.77904864492556
2013-06-01,-1.71479842809193,2013,6,0,-3.91202300542815,176,8.18311807939475
2013-07-01,-1.83258146374831,2013,7,0,-3.91202300542815,177,7.49554194388426
2013-08-01,-1.42711635564015,2013,8,0,-3.91202300542815,178,6.9177056098353
2013-09-01,-2.52572864430826,2013,9,0,-3.91202300542815,179,5.04342511691925
2013-10-01,-3.2188758248682,2013,10,0,-3.91202300542815,180,4.4188406077966
